movie_id,title,year,directors,actors,genres
1,toy story,1995,John Lasseter,Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn John Ratzenberger Annie Potts John Morris Erik von Detten Laurie Metcalf R. Lee Ermey Sarah Freeman Penn Jillette Jack Angel Spencer Aste Greg Berg Lisa Bradley Kendall Cunningham Debi Derryberry Cody Dorkin Bill Farmer Craig Good Gregory Grudt Danielle Judovits Sam Lasseter Brittany Levenbrown Sherry Lynn Scott McAfee Mickie McGowan Ryan O'Donohue Jeff Pidgeon Patrick Pinney Phil Proctor Jan Rabson Joe Ranft Andrew Stanton Shane Sweet Anthony Burch Carole Jeghers John Lasseter Billy West,Animation Adventure Comedy Family Fantasy
2,goldeneye,1995,Martin Campbell,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker Judi Dench Robbie Coltrane Tchéky Karyo Gottfried John Alan Cumming Desmond Llewelyn Samantha Bond Michael Kitchen Serena Gordon Simon Kunz Pavel Douglas Olivier Lajous Billy J. Mitchell Constantine Gregory Minnie Driver Michelle Arthur Ravil Isyanov Vladimir Milanovich Trevor Byfield Peter Majer Paul Bannon Simone Bechtel Martin Campbell Mark Chapman Kenneth Coombs Simon Crane Terrance Denville Ian Durrant Max Faulkner Juliet Forester Stefan Kopiecki Jo Anna Lee Derek Lyons Wayne Michaels Bhasker Patel Paul Sacks Michael G. Wilson,Action Adventure Thriller
3,four rooms,1995,Allison Anders Alexandre Rockwell Robert Rodriguez Quentin Tarantino Chuck Jones,Sammi Davis Amanda De Cadenet Valeria Golino Madonna Ione Skye Lili Taylor Alicia Witt Jennifer Beals David Proval Antonio Banderas Lana McKissack Patricia Vonne Tamlyn Tomita Danny Verduzco Salma Hayek Paul Calderon Quentin Tarantino Lawrence Bender Kathy Griffin Quinn Hellerman Marc Lawrence Unruly Julie McClean Laura Rush Paul Skemp Marisa Tomei Tim Roth Monica Lee Bellais Kimberly Blair Russell Vossler Bruce Willis,Comedy
4,get shorty,1995,Barry Sonnenfeld,John Travolta Gene Hackman Rene Russo Danny DeVito Dennis Farina Delroy Lindo James Gandolfini Jon Gries Renee Props David Paymer Martin Ferrero Miguel Sandoval Jacob Vargas Linda Hart Bobby Slayton Ron Karabatsos Alison Waddell Amber Waddell John Cothran Jack Conley Bernard Hocke Big Daddy Wayne Jay Montalvo Carlease Burke Vito Scotti Rino Piccolo Alfred Dennis Ralph Manza Zed Frizzelle Harry Victor Patrick Breen Barry Sonnenfeld Donna W. Scott Zack Phifer Greg Goossen Stephanie Kemp Rebeca Arthur Jeffrey Stephan Ernest 'Chili' Palmer Leslie Bega Ray Buffer Tom Demille Marlene Dietrich Brian Reed Garvin David Groh Charlton Heston Harvey Keitel David Letterman Penny Marshall Dean Martin Bette Midler Zack Milan Laura Pursell Alex Rocco John Wayne Orson Welles Lenny Wilson Paul Winters,Comedy Crime Thriller
5,copycat,1995,Jon Amiel,Sigourney Weaver Holly Hunter Dermot Mulroney William McNamara Harry Connick Jr. J.E. Freeman Will Patton John Rothman Shannon O'Hurley Bob Greene Tony Haney Danny Kovacs Tahmus Rounds Scott DeVenney David Michael Silverman Diane Amos Richard Conti Nick Scoggin Bert Kinyon Dennis Richmond Rob Nilsson Kenny Kwong Charles Branklyn Kelly DeMartino Rebecca Klingler Terry Brown Corie Henninger Bill Bonham Kathleen Stefano Chris Beale Hansford Prince Don West Jay Jacobus John Charles Morris Keith Phillips Johnetta Shearer Ron Kaell Kelvin Han Yee James Cunningham Victor Talmadge Brian Keith Russell Damon Lawner Russ Christoff Doug Morrisson Edith Bryson Jeni Chua William Oates Lee Kopp Thomas J. Fieweger Floyd Gale Holland Anthony Moore Stephanie Smith S.J. Spinali Katherine Fitzhugh Robert Benscoter Arlon G. Greene Stuart W. Yee Vincenetta Gunn David Ferguson Eleva Singleton Gena Bingham Brian Banowetz Jon Briddell Greg Bronson Monique Carmona Leah Diamond II Bob Dini Frederick Keeve Erika Pearson Ron Roggé Kevin Scanlon Jeff Scott Tracey Silver Joseph Quinn Simpkins Theodore Carl Soderberg Erick Vinther,Drama Mystery Thriller
6,shanghai triad yao a yao yao dao waipo qiao,1995,,,
7,twelve monkeys,1995,Terry Gilliam,Joseph Melito Bruce Willis Jon Seda Michael Chance Vernon Campbell H. Michael Walls Bob Adrian Simon Jones Carol Florence Bill Raymond Ernest Abuba Irma St. Paule Madeleine Stowe Joey Perillo Bruce Kirkpatrick Wilfred Williams Rozwill Young Brad Pitt Nell Johnson Frederick Strother Rick Warner Frank Gorshin Anthony 'Chip' Brienza Joilet Harris Drucie McDaniel John Blaisse Louis Lippa Stan Kang Pat Dias Aaron Michael Lacey David Morse Charles Techman Jann Ellis Johnnie Hobbs Jr. Janet Zappala Thomas Roy Harry O'Toole Korchenko Chuck Jeffreys LisaGay Hamilton Felix Pire Matt Ross Barry Price John Panzarella Christopher Plummer Larry Daly Arthur Fennell Karl Warren Christopher Meloni Paul Meshejian Robert O'Neill Kevin Thigpen Lee Golden Joseph McKenna Jeff Tanner Faith Potts Michael Ryan Segal Annie Golden Lisa Talerico Stephen Bridgewater Ray Huffman Jodi Dawson Jack Dougherty Lenny Daniels Herbert C. Hauls Jr. Charley Scalies Carolyn Walker Tiffany Baldwin Bart the Bear C.J. Byrnes Phillip V. Caruso Tom Detrik Donald Faison Kelly Farnan Joe Gerety Laura Glas Robert Gleason John Hagy Adam Hatley Bonnie Loev Julie Mabry Raymond Mamrak Sal Mazzotta Roger Pratt Allelon Ruggiero Renee Spei Richard Stanley Thang Susan Wool-Rush,Mystery Sci-Fi Thriller
8,babe,1995,Chris Noonan,Christine Cavanaugh Miriam Margolyes Danny Mann Hugo Weaving Miriam Flynn Russi Taylor Evelyn Krape Michael Edward-Stevens Charles Bartlett Paul Livingston Roscoe Lee Browne James Cromwell Magda Szubanski Zoe Burton Paul Goddard Wade Hayward Brittany Byrnes Mary Acres Janet Foye Pamela Hawken Karen Gough David Webb Marshall Napier Hec Macmillan Ken Gregory Nicholas Lidstone Trevor Read Nicholas Blake Matthew Long John Doyle Mike Harris Ross Bagley Gemini Barnett Rachel Davey Debi Derryberry Jazz Raycole Courtland Mead Kevin Jamal Woods Jane Alden Kimberly Bailey Patrika Darbo Michelle Davison Julie Forsyth Maeve Germaine Rosanna Huffman Carlyle King Tina Lifford Gennie Nevinson Mary Linda Phillips Paige Pollack Kerry Walker Barbara Harris Jacqueline Brennan Doug Burch John Erwin Doris Grau Tony Hughes Linda Janssen Daamen J. Krall Charlie MacLean Justin Monjo Antonia Murphy Helen O'Connor Neil Ross Scott Vernon Kay E. Kuter Karl Lewis Miller,Comedy Drama Family
9,dead man walking,1995,Tim Robbins,Susan Sarandon Sean Penn Robert Prosky Raymond J. Barry R. Lee Ermey Celia Weston Lois Smith Scott Wilson Roberta Maxwell Margo Martindale Barton Heyman Steve Boles Nesbitt Blaisdell Ray Aranha Larry Pine Gil Robbins Kevin Cooney Clancy Brown Adele Robbins Michael Cullen Peter Sarsgaard Missy Yager Jenny Krochmal Jack Black Jon Abrahams Arthur Bridgers Steve Carlisle Helen Hester Eva Amurri Martino Jack Henry Robbins Gary 'Buddy' Boe Amy Long Dennis Neal Molly Bryant Pamela Garmon Adrian Colon John D. Wilmot Margaret Lane Sally Ann Roberts Alec Gifford John Hurlbutt Mike Longman Pete Burris Joan Glover Florrie Hathorn Lenore Banks Idella Cassamier Marlon Horton Kenitra Singleton Palmer Jackson Johnathan Thomas Walter Breaux Jr. Scott Sowers Cortez Nance Jr. Adam Nelson Dalvin Ford Derek Steeley Jeremy Knaster Mary Robbins Miles Robbins Marcus Lyle Brown Joanna Doherty Anthony Michael Frederick Thomas McGowan Rawleigh Moreland Helen Prejean Codie Scott,Crime Drama
10,richard iii,1995,Richard Loncraine,Christopher Bowen Edward Jewesbury Ian McKellen Bill Paterson Annette Bening Matthew Groom John Wood Nigel Hawthorne Maggie Smith Kate Steavenson-Payne Robert Downey Jr. Tres Hanley Tim McInnerny Stacey Kent Jim Carter Roger Hammond Denis Lill Jim Broadbent Edward Hardwicke Ryan Gilmore Dominic West Donald Sumpter Kristin Scott Thomas Adrian Dunbar Andy Rashleigh Marco Williamson Bruce Purchase James Dreyfus David Antrobus Michael Elphick John Lanasis Derek Lyons Madeleine Mora,Drama Sci-Fi War
